category,subcategory,assetId,display_name,primary_source,license_type,backup_source,custom_blender_needed,lod_levels,legal_notes
Regulation & Calming,Sensory Swing,sensory-swing-01,Generic Hanging Sensory Swing,Sketchfab (CC0/CC-BY filter),CC0 preferred; verify commercial flag,CGTrader Royalty Free,"Yes - simplify rigging, remove ceiling mount branding",LOD0-LOD2,Avoid depicting any branded swing frame shape
Regulation & Calming,Compression Chair,compression-chair-01,Generic Compression/Squeeze Chair,CGTrader Commercial Use,Royalty Free (paid),TurboSquid Standard,Yes - custom upholstery texture,LOD0-LOD2,Genericize form; no brand logos on fabric
Regulation & Calming,Bean Bag,beanbag-01,Generic Bean Bag Chair,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,Optional,LOD0-LOD2,"Very generic shape, low IP risk"
Regulation & Calming,Weighted Blanket Station,weighted-blanket-station-01,Weighted Blanket + Bench Nook,Custom Blender build,Owned IP,-,Yes - primary build,LOD0-LOD2,No direct competitor equivalent asset; build from primitives + fabric texture
Regulation & Calming,Rocking Chair,rocking-chair-01,Generic Rocking Chair,Poly Haven / Sketchfab CC0,CC0,TurboSquid Standard,Optional,LOD0-LOD2,Widely available generic furniture asset
Regulation & Calming,Calm Corner Kit,calm-corner-composite-01,Calm Corner Composite (cushions+screen+light),Custom Blender composite,Owned IP,-,Yes - primary build,LOD0-LOD1,Combine multiple generic sub-assets into one branded composite object
Regulation & Calming,Fidget Station,fidget-station-01,Wall-Mounted Fidget Panel,Custom Blender build,Owned IP,CGTrader reference only (no reuse),Yes,LOD0-LOD1,Build simple panel with modular fidget attachments
Focus & Privacy,Quiet Pod,quiet-pod-01,Generic Acoustic Quiet Pod,CGTrader Commercial Use,Royalty Free (paid),TurboSquid Standard,Yes - remove any brand paneling pattern,LOD0-LOD3,Common in office-pod asset packs; genericize seams/branding
Focus & Privacy,Focus Pod,focus-pod-01,Generic Single-Person Focus Pod,CGTrader Commercial Use,Royalty Free (paid),TurboSquid Standard,Yes,LOD0-LOD3,"Same family as quiet pod, smaller footprint variant"
Focus & Privacy,Privacy Screen,privacy-screen-01,Freestanding Privacy/Desk Divider,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,Optional,LOD0-LOD1,"Simple planar geometry, low complexity"
Focus & Privacy,Desk Divider,desk-divider-01,Acrylic/Fabric Desk Divider,Sketchfab CC-BY (commercial allowed),CC-BY,Custom Blender,Optional,LOD0-LOD1,Verify attribution requirement if CC-BY
Acoustic Treatment,Acoustic Wall Panel,acoustic-panel-fabric-01,Fabric-Wrapped Acoustic Panel,Poly Haven materials + custom mesh,CC0 (material) + Owned (mesh),CGTrader Commercial,Yes - simple box + fabric texture,LOD0-LOD1,Very low geometric complexity; build in-house is fastest & safest
Acoustic Treatment,Sound Dampening Curtain,sound-curtain-01,Heavy Acoustic Curtain Panel,Custom Blender (cloth sim or simple plane),Owned IP,Poly Haven fabric texture,Yes,LOD0-LOD1,"Use cloth simulation once, bake to static mesh"
Acoustic Treatment,Noise Isolation Booth,noise-booth-01,Generic Isolation Booth,CGTrader Commercial Use,Royalty Free (paid),TurboSquid Standard,Yes - remove brand vents/labels,LOD0-LOD3,Larger asset; ensure LOD2/3 for perf on big floorplans
Acoustic Treatment,Sound Absorbing Rug,sound-rug-01,Generic Textured Floor Rug,Poly Haven CC0,CC0,Sketchfab CC0,No,LOD0-LOD1,Use as floor decal/mesh hybrid for performance
Lighting,Task Lighting Lamp,task-light-01,Adjustable Desk Task Lamp,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,No,LOD0-LOD1,Widely available generic desk lamp assets
Lighting,Dimmable LED Panel,dimmable-led-01,Ceiling/Wall Dimmable LED Panel,Custom Blender build,Owned IP,Poly Haven texture,Yes,LOD0-LOD1,"Simple panel geometry; drive color/intensity via shader uniform, not new mesh"
Lighting,Bubble Tube,bubble-tube-01,Generic Bubble Tube (color-cycling),Sketchfab CC0 collection reference + custom rebuild,Owned IP (rebuild) ,CGTrader Commercial,Yes - rebuild generic cylinder + particle shader,LOD0-LOD2,Do NOT reuse SensoryPlus Sketchfab file directly - rebuild generic version for safety
Lighting,Fiber Optic Feature,fiber-optic-01,Fiber Optic Light Spray/Curtain,Custom Blender (particle/line system),Owned IP,-,Yes,LOD0-LOD1,Represent as particle system + emissive shader; avoid literal competitor product form
Lighting,Nature Projection Wall,nature-projection-01,Projector-Style Wall Display Surface,Custom Blender (simple plane + video texture placeholder),Owned IP,-,Yes,LOD0-LOD1,Content pluggable later; geometry is trivial
Movement & Vestibular,Sensory Trampoline,trampoline-01,Generic Small Trampoline,CGTrader Commercial Use,Royalty Free (paid),TurboSquid Standard,Optional,LOD0-LOD2,Common generic asset category
Movement & Vestibular,Ball Pit,ball-pit-01,Generic Ball Pit Enclosure,CGTrader Commercial Use,Royalty Free (paid),Custom Blender,Yes - instance spheres for balls,LOD0-LOD2,Use GPU instancing for ball count to protect performance
Movement & Vestibular,Rocking/Wobble Board,wobble-board-01,Generic Balance/Wobble Board,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,No,LOD0-LOD1,"Low complexity, generic shape"
Tactile & Proprioceptive,Foam Wedge/Block Set,foam-blocks-01,Modular Foam Shapes (wedge/cube/cylinder),Custom Blender primitives,Owned IP,Poly Haven texture (foam material),Yes - primary build,LOD0-LOD1,"Extremely simple primitives; fastest to build in-house, zero IP risk"
Tactile & Proprioceptive,Floor Mats (folding),floor-mat-folding-01,Generic Folding Sensory Floor Mat,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,Optional,LOD0-LOD1,Reference: 'Sensory Room' Sketchfab shows mats as generic props
Tactile & Proprioceptive,Tactile Wall Panel,tactile-panel-01,Textured Tactile Wall Panel,Custom Blender + Poly Haven textures,Owned IP (mesh) + CC0 (texture),-,Yes,LOD0-LOD1,Swap-able texture atlas per tactile pattern
Visual / Reflective,Mirror Panel,mirror-panel-01,Generic Wall/Freestanding Mirror,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,No,LOD0-LOD1,Use real-time reflective material sparingly for perf; fallback to baked cubemap
Visual / Reflective,Infinity-Style Light Panel,infinity-panel-01,Generic Infinity Mirror Light Box,Custom Blender build,Owned IP,-,Yes - primary build,LOD0-LOD1,Rebuild generic version rather than reference Senteq's Infinity Panel by name
Sound / Music Zones,Speaker/Sound Zone Marker,sound-zone-marker-01,Ceiling/Wall Speaker Fixture,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,No,LOD0-LOD1,"Geometry optional - primary representation is a data-driven influence radius, not a mesh"
Sound / Music Zones,Music Coverage Zone (data layer),sound-coverage-zone,Music/Ambient Sound Coverage Overlay,No mesh required - graph/heatmap layer,N/A (data only),-,No,N/A,"Represent purely via sensory graph influence field + shader overlay, avoids all IP concerns"
Furniture (baseline),Standing Desk,standing-desk-01,Generic Height-Adjustable Desk,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,No,LOD0-LOD2,"Baseline furniture, non-sensory but needed for full room context"
Furniture (baseline),Task Chair,task-chair-01,Generic Ergonomic Task Chair,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,No,LOD0-LOD2,Baseline furniture
Furniture (baseline),Storage Cabinet,storage-cabinet-01,Generic Storage Cabinet/Shelving,Poly Haven / Sketchfab CC0,CC0,CGTrader Free,No,LOD0-LOD1,Baseline furniture
Architectural,Acoustic Ceiling Baffle,ceiling-baffle-01,Generic Hanging Acoustic Baffle,CGTrader Commercial Use,Royalty Free (paid),Custom Blender,Optional,LOD0-LOD1,Architectural add-on for noise reduction visualization
